"#","Statium","Roof Type","Surface Type","Field Goals Made","Field Goals Missed","Temperture","Realtive Humitity","Wind Speed","Wind Chill"
3875,MetLife Stadium,outdoors,fieldturf,4,4,42,53,0,N/A
3876,FedExField,outdoors,grass,2,4,45,39,6,N/A
3877,Arrowhead Stadium,outdoors,grass,3,3,21,65,8,10
3878,Qualcomm Stadium,outdoors,grass,4,5,72,40,13,0
3879,University of Phoenix Stadium,retractable roof (closed),grass,2,2,N/A,N/A,N/A,N/A
3880,Lambeau Field,outdoors,grass,4,5,28,72,13,17
3881,Lucas Oil Stadium,retractable roof (closed),fieldturf,2,2,N/A,N/A,N/A,N/A
3882,LP Field,outdoors,grass,3,3,25,64,9,16
3883,O.co Coliseum,outdoors,grass,3,3,57,88,6,0
3884,Georgia Dome,dome,fieldturf,5,6,N/A,N/A,N/A,N/A
3885,Soldier Field,outdoors,grass,2,3,54,75,12,0
3886,Lucas Oil Stadium,retractable roof (closed),fieldturf,4,4,N/A,N/A,N/A,N/A
3887,NRG Stadium,retractable roof (closed),grass,4,4,N/A,N/A,N/A,N/A
3888,Gillette Stadium,outdoors,fieldturf,5,6,58,40,7,0
3889,Lincoln Financial Field,outdoors,grass,6,7,54,33,7,0
3890,TCF Bank Stadium,outdoors,fieldturf,3,3,49,0,0,0
3891,Qualcomm Stadium,outdoors,grass,3,4,72,40,5,0
3892,CenturyLink Field,outdoors,fieldturf,5,7,51,79,10,0
3893,Sports Authority Field at Mile High,outdoors,grass,1,2,39,36,6,N/A
3894,Levi's Stadium,outdoors,grass,3,3,62,44,9,0
3895,MetLife Stadium,outdoors,fieldturf,1,1,51,58,2,0
3896,Ford Field,dome,fieldturf,2,2,N/A,N/A,N/A,N/A
3897,Mercedes-Benz Superdome,dome,sportturf,4,4,N/A,N/A,N/A,N/A
3898,Ford Field,dome,fieldturf,3,3,N/A,N/A,N/A,N/A
3899,AT&T Stadium,retractable roof (closed),matrixturf,5,5,N/A,N/A,N/A,N/A
3900,Levi's Stadium,outdoors,grass,5,5,68,45,0,0
3901,Edward Jones Dome,dome,astroplay,1,1,N/A,N/A,N/A,N/A
3902,Ralph Wilson Stadium,outdoors,a_turf,5,7,57,61,17,0
3903,Lucas Oil Stadium,retractable roof (closed),fieldturf,2,2,N/A,N/A,N/A,N/A
3904,NRG Stadium,retractable roof (closed),grass,1,2,N/A,N/A,N/A,N/A
3905,TCF Bank Stadium,outdoors,fieldturf,3,3,12,0,17,-7
3906,Heinz Field,outdoors,grass,3,4,63,55,15,N/A
